event_nm,tme_dc,event_bgn_de,event_end_de,auspc_instt_nm,opmt_place_nm,event_dc
제7회 대한민국발레축제,7회,2017-06-08,2017-06-25,"대한민국발레축제조직위원회, 예술의전당","예술의전당 오페라극장, CJ토월극장, 자유소극장, 신세계스퀘어 야외무대","직업발레단 및 민간발레단, 개인안무가를 함께 어우르는 대한민국발레의 화합의 장으로 다양한 레퍼토리를 선보였으며, 이번에는 특히 해외 안무가와 국제 콩쿠르 수상자 초청공연을 추가해 여느 때보다 더 풍성한 공연이 진행됐다."
2017 국악의맛,,2017-06-09,2017-07-01,(재)세종문화회관 서울돈화문국악당,"서울돈화문국악당
","김경배, 김영기 명창과 국내 정상급 연주자들이 부르는 정가 무대 '나랏소리 나랏노래'(6월 9일)와 정악연주단체 정농악회의 유려하고 장엄한 정악 연주를 들을 수 있는 '바른소리 울울창창'(6월 16일)는 우리음악의 정갈하고도 깊은 맛을 전한다. 사물놀이의 대표 아이콘 김덕수와 그의 부인이자 한국무용가인 김리혜는 춤과 장단이 함께 어우러지는 연희무대 '춤 속에 장단있네'(6월 10일)를 올리며 국악의 강렬하고 화려한 맛을 선보인다."
2017 판페스티벌토요일에놀러와,,2017-06-10,2017-08-26,"천안시,천안문화재단",천안역 CGV 앞,<토요일에 놀러와>는 원도심에 활기를 불어넣고 천안의 전문예술인과 생활문화동아리 활동을 확대하기 위해 개최하는 공연이다.
제10회 제주해비치아트페스티벌,10회,2017-06-12,2017-06-15,"한국문화예술위원회, 제주특별자치도, 한국문화예술회관연합회",해비치호텔&리조트제주 등 제주도 일원,"부대행사로는 '제주인(In) 페스티벌'이 진행되었고, 초청작과 프린지로 구성되었다. 10일부터 15일까지 제주문예회관 등 주요 5개 공연장에서는 '두번째달', '국립현대무용단' 등 총 6개 초청작이 선을 보였고, 1일부터 18일까지는 제주 전역 30개소에서 '김거지', '펜타토닉' 등 50개 단체가 100회 공연을 펼쳤다."
서울오페라페스티벌 2017,2회,2017-06-20,2017-06-30,"서울오페라페스티벌조직위원회,노블아트오페라단","강동아트센터,천호공원 야외무대","오페라를 재즈와 팝, 뮤지컬, 한국무용 등 여러 장르와 융합해 오페라 애호가는 물론 초심자들까지 편안하게 즐길 수 있도록 프로그램들로 구성"
2017 대구국제뮤지컬페스티벌,11회,2017-06-23,2017-07-10,"대구광역시, (사)대구국제뮤지컬페스티벌
","봉산문화회관, 문화예술전용극장CT 등","세계 8개국의 뮤지컬을 즐길 수 있는 ‘제12회 대구국제뮤지컬페스티벌(DIMF)’이 개최된다. 6월 22일부터 7월9일까지 대구오페라하우스 등 대구 주요 공연장에서 열린다. 우리나라를 포함해 체코, 영국, 프랑스, 러시아, 대만, 중국, 카자흐스탄의 뮤지컬을 소개한다. 총 24개 작품, 102회 공연이 예정돼 있다.
DIMF는 대중성을 높인 다양한 작품을 준비해 많은 관객들이 찾도록 할 예정이다. 공연장은 대구오페라하우스, 수성아트피아, 아양아트센터, 대구봉산문화회관, 대구문화예술회관, 대덕문화전당, 웃는얼굴아트센터, 문화예술전용극장 CT, 코오롱야외음악당, 꿈꾸는씨어터, 대백프라자, 뮤지컬광장, 계명아트센터로 대구 전역에 있는 다양한 장소에서 열린다."
제11회 DIMF 대학생 뮤지컬 페스티벌,11회,2017-06-23,2017-07-10,대구광역시,대구 시내 전역,"올해 축제는 한국과 영국, 러시아, 프랑스, 중국, 대만, 폴란드, 인도 등 9개국의 공식초청작과 4개의 창작지원작, 4개의 지역 대표 특별공연, 국내·외 9개 대학의 대학생뮤지컬페스티벌 등 총 26개의 작품이 95회 공연됐다."
NEWDANCEFESTIVAL,16회,2017-06-29,2017-07-01,21세기 현대무용연구회,"대전예술가의집, 서대전공원 야외무대","개막공연은 4개의 초청작, 8일은 이찬주 평론가와 페스티벌에 참가하는 안무가들과 함꼐 좌담회가 진행되었고, 9~10일은 각 지역에서 선발된 젊은 안무가들의 작품 공연으로 진행되었다."
디토10주년페스티벌,,2017-07-01,2017-07-01,CREDIA,예술의전당 콘서트홀,"새로운 디토를 위해 젊은 아티스트를 영입했다. 2015 차이콥스키 콩쿠르 1위 없는 2위에 오른 바이올리니스트 유치엔 쳉, 한국인 최초 파블로 카잘스 콩쿠르 우승자 첼리스트 문태국, 지난해 합류, 관객과 자유롭게 소통하며 특유의 밝은 에너지를 더하고 있는 바이올리니스트 대니 구, 2016년 자크 랑슬로 국제 클라리넷 콩쿠르를 석권하며 차세대 대표 클라리넷 연주자로서의 이름을 알린 김한 등이다."
2017 대구플루트뮤직페어,,2017-07-01,2017-07-02,대구플루트뮤직페어 조직위원회,대구콘서트하우스,전국에서 활동하는 플루트 전문연주단체들과 아마추어 연주단체 및 해외연주단체를 초청해 다양한 연주회와 ‘신인음악회’ ‘마스터 클래스’ ‘악기 및 악보 전시’ ‘악기 관련 용품 전시 및 판매’ ‘플루트 수리’ 등 다양한 행사를 펼쳤다. 특히 이번에는 세계 정상의 플루티스트 데니스 브리아코프(LA필하모닉 플루트 수석 연주자)가 협연자로 초청돼 눈길을 끌었다.
2017 원먼스페스티벌,3회 ,2017-07-01,2017-07-31,함안군 ,함안문화예술회관 ,"원먼스페스티벌은 한 달 동안 전 세계 여러 국가에서 동시다발적으로 공연을 개최하는 프로젝트다. 경남 함안문화예술회관에서는 이 프로젝트의 일환으로 매년 여름 다양한 장르의 아티스트들의 공연을 4일간 개최한다. 국악, 클래식, 대중음악 등 다양한 장르의 아티스트들이 무대를 펼친다. 이 행사는 함안에 의미 있는 문화의 씨앗을 뿌리며 군민들의 많은 관심과 참여를 이끌었다."
제8회 페스티벌개판,8회,2017-07-04,2017-07-30,페스티벌'개판'운영위원회,"소극장 천공의성,후암스테이지",제8회 연극페스티벌 '개판'이 4일 시작되어 30일까지 서울 대학로 '천공의 성'과 '후암스테이지' 등 2개 공연장에서 열렸다. 올해는 6개 단체 100여명의 예술인들이 모여 매주 한 작품씩 선을 보였다. 침체된 대학로 환경에 적극적으로 ‘난장’을 벌이고자 출발한 페스티벌 ‘개판’은 의욕적인 창작자들의 실험정신을 되살려내며 창의활동을 증진하고자 했다.
제8회 대한민국 국공립극단 페스티벌,8회,2017-07-05,2017-07-29,경주시,경주예술의전당,"경주시가 주최하고 경주시립예술단과 한국국공립극단협의회가 주관한 이번 축제에는 대구시립극단을 비롯한 10개의 국공립극단이 참여했다. 개막작 경주시립극단의 오태석 작 ‘자전거’를 시작으로, 대구시립극단은 대한민국 최초의 여성 비행사이자 독립운동가인 권기옥의 이야기로 만든 창작뮤지컬 ‘비 갠 하늘’, 경기도립극단의 전통시장 온기를 담은 악극 ‘명랑시장’ 등 명품공연들을 선보였다."
제7회 젊음의축제,7회,2017-07-07,2017-07-14,"부산광역시,부산예술회관,(사)부산예술문화단체총연합회","부산예술회관 공연장,전시실","▷퓨전 국악 공연(개막식) ▷록 배틀&페스티벌 ▷젊음의 두드림展(전)으로 진행됐다. 7일에는 '퓨전 국악 공연'은 퓨전국악팀 헤아림, 초아, 별이 내리는 숲 등 3개 팀의 공연이 있었으며, 이들 단체는 국악을 바탕으로 현대 정서에 맞는 한국음악을 창작하고 연주한다. 8일 '록 배틀&페스티벌'에서는 록밴드 7개 팀이 출전하여 무대를 빛냈다."
통영연극예술축제2017,9회,2017-07-07,2017-07-16,"통영시,통영연극예술축제위원회","통영시민문화회관,벅수골소극장,남망산공원","2017 통영연극예술축제 프로그램은 '통영콘텐츠 창작 스테이지', 'TTAF스테이지', '가족극 스테이지', '꿈사랑나눔 스테이지', '섬마을 스테이지', '생활 속의 스테이지'로 구성되었으며, 국내.외 30개 연극 관련 단체가 참여해 모두 59회의 공연, 10회의 전시, 연극캠프 3회, 워크샵 1회, 북카페 10회, 통영홍보상품 운영 5회 등이 10일간의 일정을 함께했다."
제6회 원주아동극페스티벌,6회,2017-07-07,2017-07-17,한국연극협회 원주시지부 ,"백운아트홀, 원주시청공원 야외공연장 ",어린이들의 동심을 지켜주고 정서지능과 상상력을 길러주는 제5회 원주아동극페스티벌이 8~18일 원주시청 백운아트홀과 시청공원 야외공연장에서 펼쳐졌다. 원주연극협회(지부장:함두영)가 주최하고 원주아동극축제위원회가 주관한 이번 페스티벌은 `좋은 아동극이 사회를 정화시키고 아름다운 어른을 만듭니다'를 슬로건으로 내걸고 우수한 아동극을 시민들에게 선사했다.
여우락페스티발,8회,2017-07-07,2017-07-22,국립극장,국립극장 KB하늘/달오름/별오름,한국음악에 기반을 두고 다양한 음악적 시도를 하고 있는 음악가들과 예술가들이 참여하는 음악 페스티벌이다. 올해 공연의 주제인 ‘우리 음악의 자기진화’에 맞춰 동시대와 소통하기 위한 노력을 계속해온 팀들이 2주간 총 15개 공연을 선보였다.
2017 ‘아시아뉴댄스국제무용제’(2017N.D.AInternationalFestival),,2017-08-24,2017-08-30,데시그나레 무브먼트,"서강대학교 메리홀, 해달별펜션 스테이지","아시아 현대무용 네트워킹을 자랑하는 한국의 젊은 무용 축제로서 이탈리아, 미국, 싱가폴, 일본, 홍콩, 태국, 한국 7개국 57명의 아티스트가 참여했다."
2017 제3회 을숙도오페라축제,3회,2017-07-07,2017-07-22,"을숙도문화회관,부산일보사,국제신문",을숙도문화회관,"을숙도문화회관이 직접 제작한 창작오페라 ‘윤흥신’을 비롯해 폭스캄머오페라단 ‘라 트라비아타’, 경상오페라단의 ‘돈 파스콸레’, 클래식단체 더 클래시코(The Classico)의 ‘라 트라비아타’, 그리고 국립부산국악원의 어린이창극 ‘오늘이’, 서울인형극회의 노래하는 인형극 ‘신데렐라’ 등 다양한 작품이 함께했다."
여름체홉축전,3회,2017-07-07,2017-08-30,,"예장홀,소극장 혜화당,아트씨어터MOOn,나루아트센터","7개팀이 8개 공연을 선보였다. 서울예술대학교 공연창작학부의 '벚꽃동산'(지도교수 전훈)이 7~9일 예장홀에서 진행되었고, 창작집단 양산박의 '벚꽃동산'(장진웅 각색, 연출)이 소극장 혜화당 무대에서 펼쳐졌다. 공연은 7월 30일까지 치뤄졌다."
2017 세계안무페스티벌,3회,2017-07-13,2017-07-16,세계안무페스티벌 조직위원회,대구오페라하우스,"세계안무콩쿠르 본선, 세계·꿈·UNION 안무가전, 해외 안무가 레지던스 프로그램, 세계안무가전 등으로 진행됐다."
2017 군포여름축제,,2017-07-14,2017-08-26,군포시,"산본로데오 분수대 원형광장,반월호수 수변공원,철쭉공원,당정근린공원,철쭉동산,군포시평생학습원 상상극장,금정제일공원,초막골생태공원,당정근린공원,금정역광장","군포 대야호수 둘레길 개장을 축하하기 위해 군포시와 세종국악심포니오케스트라가 펼친 축하음악회다. 쿨페스티벌이라는 이름으로 진행한 이 음악회에서는 ‘세종국악심포니오케스트라& 박학기가 함께하는 한여름밤 물빛 콘서트’가 군포 반월호수공원 특설무대에서 열렸으며, 잔잔한 포크싱어송라이터들과 최근 국악계의 새로운 트렌드를 이끌고 있는 혼성 국악밴드 AUX의 공연이 진행됐다."
제14회 평창대관령음악제,14회,2017-07-18,2017-08-08,"강원도, (재)강원문화재단",평창 알펜시아 리조트,이번 음악제는 강원도 전역에서 다양한 클래식 무대를 마련했다. '불가강의 노래(Great Russian Masters)'를 주제로 총 53회의 연주회를 열어 3만2000여명의 관객을 불러 모았다. 
제25회 아시테지국제여름축제,25회,2017-07-19,2017-07-30,"주최,주관: 아시테지 한국본부","대학로예술극장 대극장/소극장,아이들극장,이음센터 이음아트홀 외,대학로 일대","제25회 아시테지 국제여름축제의 주제는 ‘호기심으로 무대를’이다. 한국-멕시코 수교 55주년을 기념해 ‘멕시코 주간’으로 운영됐다. 멕시코는 인형극 분야에서 두각을 나타내는 국가다. 이밖에 버려진 사물들이 재탄생하는 역동적인 거리 퍼포먼스 ‘뚜보스’, 오브제무용극 ‘조각조각 브린스’ 등 멕시코, 미국, 뉴질랜드, 아이슬란드 등 11개 국 총 14편의 아동·청소년 공연이 펼쳐졌다."
2017 제7회 연천DMZ국제음악제,7회,2017-07-20,2017-07-20,"연천군,DMZ국제음악제 조직위원회",롯데콘서트홀,"다시, 평화를 그리다 라는 주제로 진정한 평화의 의미를 다시 새기고, DMZ국제음악제의 새로운 내일을 보여주고자 한다. 이번 음악회는 지휘자 막심 페도토프와 코리안심포니오케스트라, 첼리스트 문태국, 바리톤 고성현, 메조소프라노 손진희가 함께했다."
